Building ID,Owner ID,zip_code,neighborhood,block,address,building_class_category,tax_class,building_class,year_built,LandUse
39,O142800,11215,PARK SLOPE,1066,1 PROSPECT PARK WEST,38  ASYLUMS AND HOMES,4,N2,1931,8
40,O142801,11222,GREENPOINT,2538,127 WEST STREET,27  FACTORIES,4,F1,1975,6
41,O142802,11232,BUSH TERMINAL,803,14 53RD STREET,27  FACTORIES,4,E9,1918,5
42,O142803,11201,BROOKLYN HEIGHTS,248,98 MONTAGUE STREET,26  OTHER HOTELS,4,H8,1912,5
43,O142804,11211,WILLIAMSBURG-SOUTH,2447,262 SOUTH 4TH   STREET,29  COMMERCIAL GARAGES,4,G7,0,10
44,O142805,11211,WILLIAMSBURG-NORTH,2307,261 NORTH 9TH   STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D3,2013,3
45,O142806,11201,DOWNTOWN-FULTON MALL,153,1 BOERUM PLACE,21  OFFICE BUILDINGS,4,O2,1963,5
46,O142807,11211,WILLIAMSBURG-NORTH,2349,173 KENT AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D6,2009,NA
47,O142808,11218,KENSINGTON,5320,23-49 CATON PLACE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2005,3
48,O142809,11231,GOWANUS,452,363 BOND STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D6,2014,4
49,O142810,11231,GOWANUS,465,78 3 STREET,27  FACTORIES,4,F9,1968,5
50,O142811,11206,BUSHWICK,3152,28 STANWIX STREET,31  COMMERCIAL VACANT LAND,4,V1,0,4
51,O142812,11222,GREENPOINT,2522,110 GREEN STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2007,3
52,O142813,11201,DOWNTOWN-FULTON MALL,166,300 LIVINGSTON STREET,29  COMMERCIAL GARAGES,4,G1,1974,4
53,O142814,11206,BEDFORD STUYVESANT,1747,553 MARCY AVENUE,27  FACTORIES,4,V1,1959,11
54,O142815,11211,WILLIAMSBURG-NORTH,2313,223 NORTH 8TH   STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2014,3
55,O142816,11206,BUSHWICK,3152,123 MELROSE STREET,31  COMMERCIAL VACANT LAND,4,V1,0,4
56,O142817,11205,NAVY YARD,1874,255-275 PARK AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D6,1920,4
57,O142818,11201,FORT GREENE,2094,633-635 FULTON ST,22 STORE BUILDINGS,4,K4,1920,4
58,O142819,11224,CONEY ISLAND,6979,3601-3627 NEPTUNE AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D6,1975,4
59,O142820,11229,MIDWOOD,6777,1630 EAST 15TH,21  OFFICE BUILDINGS,4,O9,2006,5
60,O142821,11201,COBBLE HILL,284,339-357 HICKS STREET,32  HOSPITAL AND HEALTH FACILITIES,4,I1,1972,8
61,O142822,11205,BEDFORD STUYVESANT,1912,168 FRANKLIN AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2014,3
62,O142823,11224,CONEY ISLAND,6979,2750-2770 WEST 33RD STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D6,1974,4
63,O142824,11211,WILLIAMSBURG-NORTH,2352,235 BEDFORD AVENUE,14  RENTALS - 4-10 UNIT,2A,S3,2005,4
64,O142825,0,WILLIAMSBURG-NORTH,2340,KENT AVENUE,05  TAX CLASS 1 VACANT LAND,2,D8,2012,3
65,O142826,11201,DOWNTOWN-FULTON FERRY,52,61 ADAMS STREET,35  INDOOR PUBLIC AND CULTURAL FACILITIES,4,P9,1994,8
66,O142827,11201,DOWNTOWN-METROTECH,63,107 ADAMS STREET,30  WAREHOUSES,4,E9,1967,5
67,O142828,11201,DOWNTOWN-FULTON MALL,159,486 FULTON STREET,11A CONDO-RENTALS,2,RR,1920,NA
68,O142829,11238,CLINTON HILL,1976,471 VANDERBILT AVENUE,07  RENTALS - WALKUP APARTMENTS,2,C1,1930,2
69,O142830,11201,BROOKLYN HEIGHTS,234,169 COLUMBIA HEIGHTS,08  RENTALS - ELEVATOR APARTMENTS,2,D9,1903,3
70,O142831,11201,DOWNTOWN-FULTON FERRY,51,74 ADAMS STREET,29 COMMERCIAL GARAGES,4,G1,1976,10
71,O142832,11222,GREENPOINT,2472,COMMERCIAL STREET,05  TAX CLASS 1 VACANT LAND,1B,V0,0,11
72,O142833,11201,DOWNTOWN-FULTON FERRY,36,30 MAIN STREET,08  RENTALS - ELEVATOR APARTMENTS,,,0,NA
73,O142834,11249,WILLIAMSBURG-SOUTH,2470,53 BROADWAY,46  CONDO STORE BUILDINGS,4,RK,2012,NA
74,O142835,11236,FLATBUSH-NORTH,4595,1022 EAST 93RD   STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D7,1976,4
75,O142836,11226,FLATBUSH-CENTRAL,5061,57 ST. PAUL'S PLACE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,1929,3
76,O142837,11222,GREENPOINT,2522,110 GREEN STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2007,3
77,O142838,11221,BUSHWICK,3231,1209 DEKALB AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2012,3
78,O142839,11201,BROOKLYN HEIGHTS,219,97 COLUMBIA HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS,2,D9,1987,3
79,O142840,11217,GOWANUS,413,152 4 AVENUE,28  COMMERCIAL CONDOS,4,R5,2009,NA
80,O142841,11238,CLINTON HILL,1946,379 WASHINGTON AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D5,1905,3
81,O142842,11249,WILLIAMSBURG-NORTH,2317,111 KENT AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D8,2008,3
82,O142843,11249,WILLIAMSBURG-SOUTH,2159,475 KENT AVENUE,08 RENTALS - ELEVATOR APARTMENTS,2,D9,1911,3
83,O142844,11201,DOWNTOWN-METROTECH,77,137 PEARL STREET,30  WAREHOUSES,4,E9,1962,5
84,O142845,11201,DOWNTOWN-METROTECH,147,57 WILLOUGHBY STREET,21  OFFICE BUILDINGS,4,O5,1929,5
85,O142846,11201,DOWNTOWN-METROTECH,87,175 PEARL STREET,30  WAREHOUSES,4,E9,1918,5
86,O142847,11249,WILLIAMSBURG-NORTH,2277,26 NORTH 12 STREET,27  FACTORIES,4,F8,1930,6
87,O142848,11212,BROWNSVILLE,3492,1501 PITKIN,33 EDUCATIONAL FACILITIES,4,W9,1930,8
88,O142849,11236,CANARSIE,3650,1098 ROCKAWAY AVENUE,30 WAREHOUSES,4,E7,2015,6
89,O142850,11201,DOWNTOWN-FULTON MALL,157,15 HOYT STREET,29  COMMERCIAL GARAGES,4,G1,1957,10
90,O142851,11201,DOWNTOWN-FULTON MALL,157,15 HOYT STREET,29 COMMERCIAL GARAGES,4,G1,1957,10
91,O142852,11206,BEDFORD STUYVESANT,1754,756 MYRTLE AVENUE,46  CONDO STORE BUILDINGS,4,RK,2007,NA
92,O142853,11217,BOERUM HILL,389,101 3 AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D3,2014,3
93,O142854,11249,WILLIAMSBURG-SOUTH,2443,100 SOUTH 4TH   STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D9,1910,3
94,O142855,11216,CROWN HEIGHTS,1259,341 EASTERN PARKWAY,08  RENTALS - ELEVATOR APARTMENTS,2,D7,2009,4
95,O142856,11201,BROOKLYN HEIGHTS,239,280 CADMAN PLAZA WEST,35 INDOOR PUBLIC AND CULTURAL FACILITIES,4,V1,1960,8
96,O142857,11220,SUNSET PARK,5794,6200 8TH AVENUE,27  FACTORIES,4,F9,1918,10
97,O142858,11201,DOWNTOWN-FULTON MALL,164,180 LIVINGSTON STREET,43  CONDO OFFICE BUILDINGS,4,RB,1900,NA
98,O142859,11206,BUSHWICK,3170,626 BUSHWICK AVENUE,08 RENTALS - ELEVATOR APARTMENTS,2,D1,1869,8
99,O142860,11226,FLATBUSH-CENTRAL,5236,1525 FOSTER AVENUE,21  OFFICE BUILDINGS,4,O6,1963,5
100,O142861,11201,BROOKLYN HEIGHTS,250,75 CLINTON STREET,28  COMMERCIAL CONDOS,4,R5,1910,NA
101,O142862,11201,DOWNTOWN-METROTECH,64,81 PROSPECT STREET,21 OFFICE BUILDINGS,4,O6,1909,5
102,O142863,11201,BROOKLYN HEIGHTS,237,25 MONROE PLACE,08  RENTALS - ELEVATOR APARTMENTS,2,D3,1938,3
103,O142864,11201,BROOKLYN HEIGHTS,234,169 COLUMBIA HEIGHTS,08  RENTALS - ELEVATOR APARTMENTS,2,D9,1903,3
104,O142865,11249,WILLIAMSBURG-NORTH,2334,92 NORTH 6TH   STREET,30  WAREHOUSES,4,E9,1920,5
105,O142866,11224,CONEY ISLAND,7247,2964 SHELL ROAD,30  WAREHOUSES,4,E7,2015,6
106,O142867,11232,BUSH TERMINAL,644,109 25TH   STREET,39  TRANSPORTATION FACILITIES,4,T9,1931,7
107,O142868,11238,CROWN HEIGHTS,1174,494 STERLING PLACE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2013,3
108,O142869,11231,GOWANUS,471,459 SMITH STREET,41 TAX CLASS 4 - OTHER,4,Z9,0,NA
109,O142870,11232,BUSH TERMINAL,796,5112 2 AVENUE,30 WAREHOUSES,4,E1,1920,6
110,O142871,11235,SHEEPSHEAD BAY,8763,1115 BANNER AVENUE,08 RENTALS - ELEVATOR APARTMENTS,2,D1,2007,3
111,O142872,11201,DOWNTOWN-FULTON MALL,152,68 WILLOUGHBY STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D6,1920,4
112,O142873,11222,GREENPOINT,2472,COMMERCIAL STREET,05  TAX CLASS 1 VACANT LAND,1B,V0,0,11
113,O142874,11201,DOWNTOWN-FULTON MALL,159,486-496 FULTON STREET,22  STORE BUILDINGS,4,K9,1920,NA
114,O142875,11237,WYCKOFF HEIGHTS,3169,1300 FLUSHING AVENUE,30  WAREHOUSES,4,E1,1930,5
115,O142876,11201,DOWNTOWN-METROTECH,76,64 PROSPECT STREET,30  WAREHOUSES,4,E9,1926,5
116,O142877,11237,WYCKOFF HEIGHTS,3169,1300 FLUSHING AVENUE,30  WAREHOUSES,4,E1,1930,5
117,O142878,11220,SUNSET PARK,830,364 55TH   STREET,07 RENTALS - WALKUP APARTMENTS,2B,C1,1984,2
118,O142879,11217,PARK SLOPE,943,120 5TH AVENUE,22 STORE BUILDINGS,4,K1,1983,5
119,O142880,11201,DOWNTOWN-FULTON FERRY,31,201 WATER STREET,27  FACTORIES,4,F9,1905,NA
120,O142881,11222,GREENPOINT,2520,161 WEST STREET,30  WAREHOUSES,4,E3,1972,6
121,O142882,11211,WILLIAMSBURG-NORTH,2375,385 UNION AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2008,3
122,O142883,11226,FLATBUSH-CENTRAL,5084,95 LINDEN BOULEVARD,08  RENTALS - ELEVATOR APARTMENTS,2,D1,1927,3
123,O142884,11205,NAVY YARD,1877,29 RYERSON STREET,30  WAREHOUSES,4,E9,1951,6
124,O142885,11228,BAY RIDGE,6094,699 92ND STREET,32  HOSPITAL AND HEALTH FACILITIES,4,I1,1918,8
125,O142886,11201,COBBLE HILL,290,328-346 HENRY STREET,32  HOSPITAL AND HEALTH FACILITIES,4,I1,1900,8
126,O142887,11213,CROWN HEIGHTS,1221,805 ST MARKS AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,1925,3
127,O142888,11211,WILLIAMSBURG-NORTH,2317,117 KENT AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D3,2008,NA
128,O142889,11237,WILLIAMSBURG-EAST,2974,101 VARICK AVENUE,30  WAREHOUSES,4,E9,1957,6
129,O142890,11201,DOWNTOWN-FULTON MALL,154,356 FULTON STREET,21  OFFICE BUILDINGS,4,O5,1967,4
130,O142891,11235,BRIGHTON BEACH,8722,200 BRIGHTON 15TH STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,1951,3
131,O142892,11211,WILLIAMSBURG-SOUTH,2135,44 SOUTH 8TH   STREET,05  TAX CLASS 1 VACANT LAND,2,D1,2009,NA
132,O142893,11249,WILLIAMSBURG-NORTH,2357,187 KENT AVENUE,30 WAREHOUSES,4,V1,1920,6
133,O142894,11217,FORT GREENE,2095,230 ASHLAND PLACE,13  CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
134,O142895,11231,RED HOOK,573,68 FERRIS,30 WAREHOUSES,4,E1,1920,6
135,O142896,11249,WILLIAMSBURG-SOUTH,2443,109 SOUTH 5TH   STREET,21  OFFICE BUILDINGS,4,O5,1903,5
136,O142897,11217,DOWNTOWN-FULTON MALL,161,8-16 NEVINS STREET,22  STORE BUILDINGS,4,K2,1920,11
137,O142898,11249,WILLIAMSBURG-NORTH,2350,85 NORTH 3RD   STREET,43  CONDO OFFICE BUILDINGS,4,RB,0,NA
138,O142899,11249,WILLIAMSBURG-SOUTH,2137,424 BEDFORD AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2007,3
139,O142900,11214,GRAVESEND,6947,2400 CROPSEY AVENUE,30  WAREHOUSES,4,E4,2006,6
140,O142901,11208,SPRING CREEK,4452,830 FOUNTAIN AVENUE,41  TAX CLASS 4 - OTHER,4,E1,2014,6
141,O142902,11211,WILLIAMSBURG-SOUTH,2468,11 BROADWAY,31  COMMERCIAL VACANT LAND,,,0,NA
142,O142903,11201,DOWNTOWN-METROTECH,2049,335 GOLD STREET,29  COMMERCIAL GARAGES,2,D7,2008,4
143,O142904,11206,WILLIAMSBURG-EAST,3092,315 SEIGEL STREET,07  RENTALS - WALKUP APARTMENTS,2,C5,1931,2
144,O142905,11235,SHEEPSHEAD BAY,8763,1125 BANNER AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2007,3
145,O142906,11201,DOWNTOWN-FULTON MALL,170,71 SMITH STREET,29  COMMERCIAL GARAGES,4,G6,1951,NA
146,O142907,11201,BROOKLYN HEIGHTS,237,25 MONROE PLACE,08  RENTALS - ELEVATOR APARTMENTS,2,D3,1938,3
147,O142908,11201,DOWNTOWN-FULTON MALL,146,426 ALBEE SQUARE,29  COMMERCIAL GARAGES,4,G6,0,10
148,O142909,11215,GOWANUS,972,201 3RD ST,29  COMMERCIAL GARAGES,4,G9,1972,7
149,O142910,11215,GOWANUS,1003,202 8 STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2009,NA
150,O142911,11205,CLINTON HILL,1890,163 WASHINGTON AVENUE,13  CONDOS - ELEVATOR APARTMENTS,2,R4,2009,NA
151,O142912,11232,SUNSET PARK,704,353 39TH   STREET,27  FACTORIES,4,F9,1917,NA
152,O142913,11249,WILLIAMSBURG-NORTH,2289,104-122 NORTH 12 STREET,27  FACTORIES,4,F5,1920,6
153,O142914,11211,WILLIAMSBURG-NORTH,2375,385 UNION AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2008,3
154,O142915,11235,SHEEPSHEAD BAY,7397,1245 AVENUE X,08 RENTALS - ELEVATOR APARTMENTS,2,D1,1963,3
155,O142916,11201,BROOKLYN HEIGHTS,244,181-183 MONTAGUE STREET,21  OFFICE BUILDINGS,4,O5,1904,5
156,O142917,11201,BROOKLYN HEIGHTS,236,55 PIERREPONT STREET,11A CONDO-RENTALS,2,RR,1920,NA
157,O142918,11232,SUNSET PARK,723,323 43RD   STREET,07 RENTALS - WALKUP APARTMENTS,2,C1,1906,2
158,O142919,11249,WILLIAMSBURG-SOUTH,2415,60 SOUTH 2ND   STREET,22  STORE BUILDINGS,4,K1,1952,5
159,O142920,11208,CYPRESS HILLS,4143,3301 ATLANTIC AVENUE,27  FACTORIES,4,F1,1959,6
160,O142921,11217,BOERUM HILL,186,561 PACIFIC STREET,31 COMMERCIAL VACANT LAND,4,V1,0,11
161,O142922,11224,CONEY ISLAND,7055,2950 WEST 24TH   STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,1972,3
162,O142923,11206,WILLIAMSBURG-EAST,3050,76 MESEROLE STREET,07  RENTALS - WALKUP APARTMENTS,2,C1,2011,2
163,O142924,11249,WILLIAMSBURG-NORTH,2288,92 NORTH 12,30 WAREHOUSES,4,E1,1920,6
164,O142925,11201,DOWNTOWN-METROTECH,122,235 GOLD STREET,29  COMMERCIAL GARAGES,2,D7,2009,4
165,O142926,11249,CLINTON HILL,1893,97 GRAND STREET,08 RENTALS - ELEVATOR APARTMENTS,2,D1,2007,3
166,O142927,0,GOWANUS,1025,12TH   STREET,29  COMMERCIAL GARAGES,4,G7,0,10
167,O142928,11201,BROOKLYN HEIGHTS,241,2 PIERREPONT STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,1949,3
168,O142929,11207,SPRING CREEK,4452,VANDALIA AVENUE,05  TAX CLASS 1 VACANT LAND,1B,V0,0,9
169,O142930,11238,PROSPECT HEIGHTS,1122,892 ATLANTIC AVENUE,30  WAREHOUSES,4,E7,1932,6
170,O142931,11201,DOWNTOWN-FULTON MALL,152,388 BRIDGE STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,2012,NA
171,O142932,11215,GOWANUS,972,175-185 3 STREET,29  COMMERCIAL GARAGES,4,G9,1973,7
172,O142933,11249,WILLIAMSBURG-NORTH,2378,50 NORTH 1ST STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2008,3
173,O142934,11206,BUSHWICK,3141,501 BUSHWICK AVENUE,29  COMMERCIAL GARAGES,4,G7,0,4
174,O142935,11249,WILLIAMSBURG-NORTH,2356,206 KENT AVE,31  COMMERCIAL VACANT LAND,4,V1,0,11
175,O142936,11217,DOWNTOWN-FULTON MALL,167,35 NEVINS STREET,31  COMMERCIAL VACANT LAND,2,D7,2015,4
176,O142937,11201,BROOKLYN HEIGHTS,244,205 MONTAGUE STREET,21  OFFICE BUILDINGS,4,O6,1962,5
177,O142938,11206,BUSHWICK,3156,95 EVERGREEN AVENUE,27  FACTORIES,4,O2,1950,5
178,O142939,11233,OCEAN HILL,1554,2440 FULTON STREET,33  EDUCATIONAL FACILITIES,4,W9,1926,8
179,O142940,11225,CROWN HEIGHTS,1192,962 FRANKLIN AVENUE,27 FACTORIES,4,F5,1920,6
180,O142941,11218,KENSINGTON,5307,70 DAHILL ROAD,08 RENTALS - ELEVATOR APARTMENTS,2,D1,1934,3
181,O142942,11215,GOWANUS,434,625 UNION STREET,26  OTHER HOTELS,4,H9,2006,5
182,O142943,11206,WILLIAMSBURG-EAST,3076,545 BROADWAY,21  OFFICE BUILDINGS,4,O2,1931,5
183,O142944,11203,FLATBUSH-EAST,7930,5407-5413 KINGS HIGHWAY,07  RENTALS - WALKUP APARTMENTS,2,C1,1952,2
184,O142945,11216,CROWN HEIGHTS,1260,1535 BEDFORD AVENUE,29  COMMERCIAL GARAGES,2,D7,2015,4
185,O142946,11201,DOWNTOWN-FULTON MALL,149,340 FLATBUSH AVENUE EXT,21  OFFICE BUILDINGS,4,O9,1967,5
186,O142947,11211,WILLIAMSBURG-NORTH,2368,143 ROEBLING STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D2,1907,3
187,O142948,11229,MARINE PARK,6841,3004 AVENUE R,07  RENTALS - WALKUP APARTMENTS,2,C9,1950,2
188,O142949,11210,FLATBUSH-EAST,7612,2425 NOSTRAND AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,1955,3
189,O142950,11224,CONEY ISLAND,7068,3015 WEST 29TH STREET,38  ASYLUMS AND HOMES,4,N2,1992,8
190,O142951,11249,WILLIAMSBURG-NORTH,2351,195 BERRY STREET,11A CONDO-RENTALS,2,RR,0,NA
191,O142952,11217,FORT GREENE,2004,212 SOUTH OXFORD STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R9,2009,NA
192,O142953,11249,WILLIAMSBURG-NORTH,2282,19 KENT AVENUE,30  WAREHOUSES,4,E9,1920,5
193,O142954,11211,WILLIAMSBURG-SOUTH,2135,44 SOUTH 8TH   STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2009,NA
194,O142955,11205,CLINTON HILL,1890,163 WASHINGTON AVENUE,13  CONDOS - ELEVATOR APARTMENTS,2,R4,2009,NA
195,O142956,11235,SHEEPSHEAD BAY,7422,2835-2875 OCEAN AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D1,1949,3
196,O142957,11215,PARK SLOPE,964,275 4 AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2,D7,2015,NA
197,O142958,11201,DOWNTOWN-METROTECH,2049,343 GOLD STREET,22  STORE BUILDINGS,,,0,NA
198,O142959,11201,DOWNTOWN-FULTON MALL,146,229-231 DUFFIELD STREET,25  LUXURY HOTELS,4,H2,2009,5
199,O142960,11226,FLATBUSH-CENTRAL,5136,2520 TILDEN AVENUE,38  ASYLUMS AND HOMES,4,N2,2004,5
200,O142961,11222,GREENPOINT,2533,305 MC GUINNESS BLVD,08  RENTALS - ELEVATOR APARTMENTS,2,D1,2005,3
201,O142962,11201,BROOKLYN HEIGHTS,245,360 FURMAN STREET,48  CONDO TERRACES/GARDENS/CABANAS,4,RT,2008,NA
202,O142963,11201,DOWNTOWN-FULTON FERRY,41,200 WATER STREET,27  FACTORIES,4,F9,1951,NA
203,O142964,11249,WILLIAMSBURG-NORTH,2297,137 NORTH 10 STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D5,1910,3
204,O142965,11201,BOERUM HILL,279,110 BOERUM PLACE,22 STORE BUILDINGS,4,K2,1972,5
205,O142966,11214,GRAVESEND,6471,2218 CROPSEY AVENUE,29  COMMERCIAL GARAGES,4,G7,0,10
206,O142967,11201,BROOKLYN HEIGHTS,244,195 MONTAGUE STREET,43  CONDO OFFICE BUILDINGS,4,RB,1960,NA
207,O142968,11201,DOWNTOWN-FULTON MALL,146,434 ALBEE SQUARE,21  OFFICE BUILDINGS,4,O9,1920,4
208,O142969,11249,WILLIAMSBURG-NORTH,2324,27 NORTH 6TH   STREET,46  CONDO STORE BUILDINGS,4,RK,2007,NA
209,O142970,11201,DOWNTOWN-FULTON MALL,161,526 FULTON STREET,21  OFFICE BUILDINGS,4,O5,1930,5
210,O142971,11201,DOWNTOWN-FULTON MALL,165,215 SCHERMERHORN STREET,31  COMMERCIAL VACANT LAND,4,V1,1920,11
211,O142972,11238,PROSPECT HEIGHTS,1176,329 LINCOLN PLACE,07  RENTALS - WALKUP APARTMENTS,2B,C1,1915,2
212,O142973,11249,WILLIAMSBURG-NORTH,2319,176 BEDFORD AVENUE,22  STORE BUILDINGS,4,K2,2014,5
213,O142974,11237,WILLIAMSBURG-EAST,2974,134 MORGAN AVENUE,30 WAREHOUSES,4,E1,1962,6
214,O142975,11211,WILLIAMSBURG-SOUTH,2151,185 MARCY AVENUE,21 OFFICE BUILDINGS,4,O2,1905,5
215,O142976,11201,COBBLE HILL,295,348-352 HENRY STREET,32  HOSPITAL AND HEALTH FACILITIES,4,I1,1900,8
